"Date","County","Cases"
"3/23/2020","Norfolk",82
"3/23/2020","Plymouth",32
"3/23/2020","Suffolk",154
"3/23/2020","Worcester",42
"3/23/2020","Unknown",57
"3/24/2020","Barnstable",40
"3/24/2020","Berkshire",37
"3/24/2020","Bristol",31
"3/24/2020","Dukes",1
"3/24/2020","Essex",118
"3/24/2020","Franklin",5
"3/24/2020","Hampden",24
"3/24/2020","Hampshire",8
"3/24/2020","Middlesex",304
"3/24/2020","Nantucket",1
"3/24/2020","Norfolk",129
"3/24/2020","Plymouth",64
"3/24/2020","Suffolk",234
"3/24/2020","Worcester",73
"3/24/2020","Unknown",90
"3/25/2020","Barnstable",51
"3/25/2020","Berkshire",71
"3/25/2020","Bristol",67
"3/25/2020","Dukes",1.5
"3/25/2020","Essex",177
"3/25/2020","Franklin",14
"3/25/2020","Hampden",45
"3/25/2020","Hampshire",11
"3/25/2020","Middlesex",446
"3/25/2020","Nantucket",1.5
"3/25/2020","Norfolk",222
"3/25/2020","Plymouth",101
"3/25/2020","Suffolk",342
"3/25/2020","Worcester",129
"3/25/2020","Unknown",159
"3/26/2020","Barnstable",67
"3/26/2020","Berkshire",73
"3/26/2020","Bristol",90
"3/26/2020","Dukes",1.5
"3/26/2020","Essex",247
"3/26/2020","Franklin",16
"3/26/2020","Hampden",55
"3/26/2020","Hampshire",17
"3/26/2020","Middlesex",538
"3/26/2020","Nantucket",1.5
"3/26/2020","Norfolk",292
"3/26/2020","Plymouth",138
"3/26/2020","Suffolk",448
"3/26/2020","Worcester",166
"3/26/2020","Unknown",267
"3/27/2020","Barnstable",100
"3/27/2020","Berkshire",105
"3/27/2020","Bristol",129
"3/27/2020","Dukes",2
"3/27/2020","Essex",350
"3/27/2020","Franklin",24
"3/27/2020","Hampden",90
"3/27/2020","Hampshire",20
"3/27/2020","Middlesex",685
"3/27/2020","Nantucket",2
"3/27/2020","Norfolk",393
"3/27/2020","Plymouth",187
"3/27/2020","Suffolk",631
"3/27/2020","Worcester",219
"3/27/2020","Unknown",303
"3/28/2020","Barnstable",133
"3/28/2020","Berkshire",119
"3/28/2020","Bristol",179
"3/28/2020","Dukes",4
"3/28/2020","Essex",472
"3/28/2020","Franklin",39
"3/28/2020","Hampden",183
"3/28/2020","Hampshire",30
"3/28/2020","Middlesex",842
"3/28/2020","Nantucket",4
"3/28/2020","Norfolk",490
"3/28/2020","Plymouth",272
"3/28/2020","Suffolk",843
"3/28/2020","Worcester",291
"3/28/2020","Unknown",356
"3/29/2020","Barnstable",148
"3/29/2020","Berkshire",151
"3/29/2020","Bristol",208
"3/29/2020","Dukes",4
"3/29/2020","Essex",570
"3/29/2020","Franklin",41
"3/29/2020","Hampden",201
"3/29/2020","Hampshire",37
"3/29/2020","Middlesex",981
"3/29/2020","Nantucket",4
"3/29/2020","Norfolk",548
"3/29/2020","Plymouth",325
"3/29/2020","Suffolk",940
"3/29/2020","Worcester",337
"3/29/2020","Unknown",460
"3/30/2020","Barnstable",173
"3/30/2020","Berkshire",162
"3/30/2020","Bristol",263
"3/30/2020","Dukes",4
"3/30/2020","Essex",653
"3/30/2020","Franklin",49
"3/30/2020","Hampden",255
"3/30/2020","Hampshire",46
"3/30/2020","Middlesex",1141
"3/30/2020","Nantucket",4
"3/30/2020","Norfolk",628
"3/30/2020","Plymouth",380
"3/30/2020","Suffolk",1115
"3/30/2020","Worcester",390
"3/30/2020","Unknown",489
"3/31/2020","Barnstable",191
"3/31/2020","Berkshire",171
"3/31/2020","Bristol",306
"3/31/2020","Dukes",4
"3/31/2020","Essex",784
"3/31/2020","Franklin",61
"3/31/2020","Hampden",354
"3/31/2020","Hampshire",69
"3/31/2020","Middlesex",1340
"3/31/2020","Nantucket",4
"3/31/2020","Norfolk",738
"3/31/2020","Plymouth",459
"3/31/2020","Suffolk",1373
"3/31/2020","Worcester",433
"3/31/2020","Unknown",333
"4/1/2020","Barnstable",255
"4/1/2020","Berkshire",183
"4/1/2020","Bristol",366
"4/1/2020","Dukes",5.5
"4/1/2020","Essex",885
"4/1/2020","Franklin",72
"4/1/2020","Hampden",475
"4/1/2020","Hampshire",81
"4/1/2020","Middlesex",1582
"4/1/2020","Nantucket",5.5
"4/1/2020","Norfolk",829
"4/1/2020","Plymouth",561
"4/1/2020","Suffolk",1624
"4/1/2020","Worcester",563
"4/1/2020","Unknown",251
"4/10/2020","Barnstable",464
"4/10/2020","Berkshire",329
"4/10/2020","Bristol",1086
"4/10/2020","Dukes",12
"4/10/2020","Essex",2670
"4/10/2020","Franklin",135
"4/10/2020","Hampden",1394
"4/10/2020","Hampshire",194
"4/10/2020","Middlesex",4447
"4/10/2020","Nantucket",9
"4/10/2020","Norfolk",2216
"4/10/2020","Plymouth",1677
"4/10/2020","Suffolk",4534
"4/10/2020","Worcester",1678
"4/10/2020","Unknown",129
"4/11/2020","Barnstable",480
"4/11/2020","Berkshire",336
"4/11/2020","Bristol",1191
"4/11/2020","Dukes",12
"4/11/2020","Essex",2896
"4/11/2020","Franklin",138
"4/11/2020","Hampden",1545
"4/11/2020","Hampshire",204
"4/11/2020","Middlesex",4872
"4/11/2020","Nantucket",9
"4/11/2020","Norfolk",2395
"4/11/2020","Plymouth",1809
"4/11/2020","Suffolk",4926
"4/11/2020","Worcester",1822
"4/11/2020","Unknown",225
"4/12/2020","Barnstable",501
"4/12/2020","Berkshire",350
"4/12/2020","Bristol",1327
"4/12/2020","Dukes",12
"4/12/2020","Essex",3170
"4/12/2020","Franklin",143
"4/12/2020","Hampden",1647
"4/12/2020","Hampshire",219
"4/12/2020","Middlesex",5660
"4/12/2020","Nantucket",9
"4/12/2020","Norfolk",2649
"4/12/2020","Plymouth",2024
"4/12/2020","Suffolk",5359
"4/12/2020","Worcester",2032
"4/12/2020","Unknown",373
"4/13/2020","Barnstable",502
"4/13/2020","Berkshire",355
"4/13/2020","Bristol",1394
"4/13/2020","Dukes",12
"4/13/2020","Essex",3413
"4/13/2020","Franklin",148
"4/13/2020","Hampden",1694
"4/13/2020","Hampshire",224
"4/13/2020","Middlesex",5983
"4/13/2020","Nantucket",9
"4/13/2020","Norfolk",2838
"4/13/2020","Plymouth",2141
"4/13/2020","Suffolk",5579
"4/13/2020","Worcester",2128
"4/13/2020","Unknown",447
"4/14/2020","Barnstable",514
"4/14/2020","Berkshire",360
"4/14/2020","Bristol",1435
"4/14/2020","Dukes",11
"4/14/2020","Essex",3594
"4/14/2020","Franklin",155
"4/14/2020","Hampden",1798
"4/14/2020","Hampshire",233
"4/14/2020","Middlesex",6254
"4/14/2020","Nantucket",9
"4/14/2020","Norfolk",2969
"4/14/2020","Plymouth",2207
"4/14/2020","Suffolk",5872
"4/14/2020","Worcester",2246
"4/14/2020","Unknown",506
"4/15/2020","Barnstable",530
"4/15/2020","Berkshire",370
"4/15/2020","Bristol",1508
"4/15/2020","Dukes",11
"4/15/2020","Essex",3894
"4/15/2020","Franklin",160
"4/15/2020","Hampden",1885
"4/15/2020","Hampshire",239
"4/15/2020","Middlesex",6681
