Date,County,Cases
3/29/20,Plymouth,325
3/29/20,Suffolk,940
3/29/20,Worcester,337
3/29/20,Unknown,460
3/30/20,Barnstable,173
3/30/20,Berkshire,162
3/30/20,Bristol,263
3/30/20,Dukes,4
3/30/20,Essex,653
3/30/20,Franklin,49
3/30/20,Hampden,255
3/30/20,Hampshire,46
3/30/20,Middlesex,1141
3/30/20,Nantucket,4
3/30/20,Norfolk,628
3/30/20,Plymouth,380
3/30/20,Suffolk,1115
3/30/20,Worcester,390
3/30/20,Unknown,489
3/31/20,Barnstable,191
3/31/20,Berkshire,171
3/31/20,Bristol,306
3/31/20,Dukes,4
3/31/20,Essex,784
3/31/20,Franklin,61
3/31/20,Hampden,354
3/31/20,Hampshire,69
3/31/20,Middlesex,1340
3/31/20,Nantucket,4
3/31/20,Norfolk,738
3/31/20,Plymouth,459
3/31/20,Suffolk,1373
3/31/20,Worcester,433
3/31/20,Unknown,333
4/1/20,Barnstable,255
4/1/20,Berkshire,183
4/1/20,Bristol,366
4/1/20,Dukes,5.5
4/1/20,Essex,885
4/1/20,Franklin,72
4/1/20,Hampden,475
4/1/20,Hampshire,81
4/1/20,Middlesex,1582
4/1/20,Nantucket,5.5
4/1/20,Norfolk,829
4/1/20,Plymouth,561
4/1/20,Suffolk,1624
4/1/20,Worcester,563
4/1/20,Unknown,251
4/2/20,Barnstable,283
4/2/20,Berkshire,213
4/2/20,Bristol,424
4/2/20,Dukes,5
4/2/20,Essex,1039
4/2/20,Franklin,85
4/2/20,Hampden,546
4/2/20,Hampshire,102
4/2/20,Middlesex,1870
4/2/20,Nantucket,7
4/2/20,Norfolk,938
4/2/20,Plymouth,621
4/2/20,Suffolk,1896
4/2/20,Worcester,667
4/2/20,Unknown,270
4/3/20,Barnstable,314
4/3/20,Berkshire,240
4/3/20,Bristol,517
4/3/20,Dukes,7
4/3/20,Essex,1238
4/3/20,Franklin,89
4/3/20,Hampden,661
4/3/20,Hampshire,114
4/3/20,Middlesex,2202
4/3/20,Nantucket,9
4/3/20,Norfolk,1045
4/3/20,Plymouth,745
4/3/20,Suffolk,2183
4/3/20,Worcester,825
4/3/20,Unknown,213
4/4/20,Barnstable,330
4/4/20,Berkshire,253
4/4/20,Bristol,601
4/4/20,Dukes,7
4/4/20,Essex,1400
4/4/20,Franklin,95
4/4/20,Hampden,733
4/4/20,Hampshire,125
4/4/20,Middlesex,2468
4/4/20,Nantucket,9
4/4/20,Norfolk,1199
4/4/20,Plymouth,898
4/4/20,Suffolk,2429
4/4/20,Worcester,915
4/4/20,Unknown,274
4/5/20,Barnstable,347
4/5/20,Berkshire,258
4/5/20,Bristol,659
4/5/20,Dukes,8
4/5/20,Essex,1506
4/5/20,Franklin,100
